ID	Period 	Observed	SeatBelt	Experience
1	1	2		1		15
1	2	7		6		15
1	3	1		1		15
1	4	NA		NA		15
2	1	2		1		2
2	2	6		5		2
2	3	11		10		2
2	4	9		9		2
3	1	5		5		3
3	2	13		13		3
3	3	8		7		3
3	4	15		14		3
4	1	2		0		10
4	2	2		2		10
4	3	2		2		10
4	4	5		4		10
5	1	12		0		20
5	2	2		2		20
5	3	3		3		20
5	4	3		0		20
6	1	3		0		8
6	2	8		8		8
6	3	3		2		8
6	4	4		2		8
7	1	4		4		9
7	2	4		4		9
7	3	NA		NA		9
7	4	NA		NA		9
8	1	4		0		9
8	2	4		4		9
8	3	2		1		9
8	4	NA		NA		9
9	1	2		0		15
9	2	3		2		15
9	3	1		1		15
9	4	2		1		15
10	1	6		1		8
10	2	1		1		8
10	3	2		2		8
10	4	NA		NA		8
11	1	3		0		8
11	2	4		3		8
11	3	8		6		8
11	4	2		0		8
12	1	2		0		2
12	2	3		3		2
12	3	8		8		2
12	4	5		5		2
13	1	1		0		5
13	2	NA		NA		5
13	3	NA		NA		5
13	4	NA		NA		5
14	1	1		0		15
14	2	3		3		15
14	3	NA		NA		15
14	4	NA		NA		15
15	1	1		1		3
15	2	2		2		3
15	3	1		1		3
15	4	1		1		3
16	1	1		0		14
16	2	NA		NA		14
16	3	NA		NA		14
16	4	1		1		14
17	1	NA		NA		14
17	2	2		2		14
17	3	3		3		14
17	4	1		1		14
18	1	NA		NA		8
18	2	1		1		8
18	3	1		1		8
18	4	1		1		8
19	1	NA		NA		3
19	2	2		1		3
19	3	NA		NA		3
19	4	NA		NA		3
20	1	NA		NA		6
20	2	1		1		6
20	3	NA		NA		6
20	4	NA		NA		6
21	1	NA		NA		3
21	2	1		1		3
21	3	NA		NA		3
21	4	NA		NA		3
22	1	NA		NA		1
22	2	NA		NA		1
22	3	2		2		1
22	4	NA		NA		1
23	1	NA		NA		6
23	2	NA		NA		6
23	3	NA		NA		6
23	4	1		0		6
